Student_ID,Age,Gender,Department,City,Study_Hours,Attendance,Assignments_Completed,Internships,Aptitude_Score,CGPA,Placement_Status,Expected_Salary
STU00001,28,Female,CSE,Raipur,2.0,87.1,7,1,47,7.77,0,955269.95
STU00002,19,Female,CSE,Delhi,3.0,75.3,0,4,55,8.2,0,1091132.5
STU00003,29,Male,AI&DS,Pune,4.8,63.9,6,2,43,7.13,0,859071.64
STU00004,26,Male,CSE,Bangalore,2.1,96.1,2,4,67,8.57,1,1148451.98
STU00005,21,Male,AI&DS,Mumbai,8.0,99.3,7,0,78,8.63,1,1087968.44
STU00006,29,Male,AI&DS,Mumbai,9.4,82.4,19,5,51,9.8,0,1186481.09
STU00007,30,Female,ECE,Bangalore,8.0,61.5,1,2,81,8.16,1,1066898.28
STU00008,25,Female,CE,Pune,4.6,95.7,14,1,63,7.64,1,999698.9
STU00009,23,Female,CE,Raipur,3.0,99.9,16,3,41,8.61,0,1072910.29
STU00010,24,Female,AI&DS,Mumbai,4.4,99.8,16,2,100,8.97,1,1168748.1
STU00011,19,Female,AI&DS,Hyderabad,3.6,57.9,0,5,63,8.56,1,1174996.22
STU00012,27,Female,EE,Delhi,2.8,68.7,5,4,97,8.34,1,1218094.46
STU00013,18,Female,CE,Delhi,3.2,78.4,2,0,92,7.87,1,1103398.45
STU00014,22,Female,CSE,Delhi,5.7,80.3,6,4,55,8.97,0,1122499.23
STU00015,21,Male,EE,Raipur,1.6,51.1,17,1,58,5.78,0,832184.09
STU00016,26,Female,ME,Delhi,3.1,83.4,6,4,46,8.4,0,1098238.31
STU00017,19,Male,ME,Bangalore,1.9,71.6,13,3,89,7.94,1,1082617.12
STU00018,23,Male,ME,Hyderabad,8.2,55.5,6,1,98,8.23,1,1119588.16
STU00019,19,Male,ECE,Pune,1.5,100.0,0,0,60,6.84,0,875764.11
STU00020,18,Female,ECE,Delhi,9.9,63.3,14,2,84,9.36,1,1223850.53
STU00021,22,Male,CSE,Hyderabad,3.0,52.9,17,0,70,6.1,0,856417.76
STU00022,19,Male,CE,Raipur,8.7,53.4,2,5,60,8.84,1,1206359.61
STU00023,24,Female,ME,Mumbai,6.9,78.3,10,2,56,8.86,0,1058218.39
STU00024,30,Male,ECE,Mumbai,9.4,50.5,19,4,42,8.28,0,1009715.43
